マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金
東京メトロ日比谷線秋葉原駅12階建築4年,東京都,千代田区,東神田２,1,0,0,0,0,4,12,6,25,129000,240000,東京メトロ日比谷線,秋葉原駅,6,120000,9000,120000,120000
ＪＲ中央線水道橋駅12階建築12年,東京都,千代田区,神田三崎町３,1,0,0,0,0,12,12,4,25,108000,96000,ＪＲ中央線,水道橋駅,5,96000,12000,96000,0
ガラ・ステージ神田小川町,東京都,千代田区,神田司町２,1,0,0,0,0,19,12,5,23,102000,184000,都営新宿線,小川町駅,4,92000,10000,92000,92000
ＪＲ中央線四ツ谷駅13階建築7年,東京都,千代田区,隼町,1,1,0,0,0,7,13,3,33,205500,195000,ＪＲ中央線,四ツ谷駅,15,195000,10500,0,195000
ゴールドフォレスト半蔵門,東京都,千代田区,麹町２,1,1,0,1,0,0,14,4,65,306500,588000,東京メトロ半蔵門線,半蔵門駅,2,294000,12500,294000,294000
シーフォルム神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,8,12,4,25,119000,210000,東京メトロ半蔵門線,神保町駅,3,105000,14000,105000,105000
KWレジデンス麹町,東京都,千代田区,麹町３,1,0,0,0,0,18,15,5,38,180000,330000,東京メトロ有楽町線,麹町駅,4,165000,15000,165000,165000
Nステージ秋葉原,東京都,千代田区,神田佐久間町３,1,0,0,0,0,6,12,7,25,118000,98000,ＪＲ山手線,秋葉原駅,4,98000,20000,98000,0
パークハウス二番町,東京都,千代田区,二番町,1,1,0,1,0,19,14,6,43,195000,370000,東京メトロ有楽町線,麹町駅,1,185000,10000,185000,185000
都営新宿線小川町駅地下1地上14階建築16年,東京都,千代田区,神田小川町３,1,0,0,0,0,16,14,12,26,133000,246000,都営新宿線,小川町駅,3,123000,10000,123000,123000
KDX岩本町レジデンス,東京都,千代田区,岩本町２,1,0,0,0,0,16,13,10,22,107000,200000,ＪＲ山手線,秋葉原駅,6,100000,7000,100000,100000
ＪＲ山手線神田駅12階建築3年,東京都,千代田区,鍛冶町１,1,0,0,0,0,3,12,3,21,116000,0,ＪＲ山手線,神田駅,5,105000,11000,0,0
レジディア大手町北,東京都,千代田区,内神田１,1,0,0,0,0,4,13,2,25,149000,278000,ＪＲ山手線,神田駅,5,139000,10000,139000,139000
東京メトロ有楽町線飯田橋駅13階建築3年,東京都,千代田区,神田三崎町３,1,1,0,1,0,3,13,13,41,215000,203000,東京メトロ有楽町線,飯田橋駅,7,203000,12000,203000,0
コンフォリア九段,東京都,千代田区,九段南２,1,1,0,1,0,16,13,11,45,220000,420000,東京メトロ東西線,九段下駅,7,210000,10000,210000,210000
アイフェリーク神田,東京都,千代田区,神田東紺屋町,1,0,0,0,0,18,13,11,22,89000,0,ＪＲ山手線,秋葉原駅,7,79000,10000,0,0
ＪＲ山手線秋葉原駅13階建築18年,東京都,千代田区,神田東紺屋町,1,0,0,0,0,18,13,11,22,90000,160000,ＪＲ山手線,秋葉原駅,7,80000,10000,80000,80000
パレ・ドール九段下,東京都,千代田区,飯田橋２,1,0,0,0,0,26,12,1,22,88500,0,東京メトロ東西線,九段下駅,4,82500,6000,0,0
レジディア九段下2,東京都,千代田区,神田神保町３,1,0,0,0,0,12,12,3,25,130000,240000,東京メトロ半蔵門線,九段下駅,2,120000,10000,120000,120000
グランツルクサス神田,東京都,千代田区,神田須田町１,1,1,0,0,0,4,9,7,25,136000,0,東京メトロ銀座線,神田駅,1,124000,12000,0,0
アーバンプレミア秋葉原,東京都,千代田区,外神田６,1,0,0,0,0,3,13,6,27,151000,141000,東京メトロ銀座線,末広町駅,2,141000,10000,141000,0
パティオ神田,東京都,千代田区,岩本町２,1,0,0,0,0,9,14,2,25,110000,0,ＪＲ山手線,神田駅,6,95000,15000,0,0
パレステュディオ御茶ノ水駿河台参番館,東京都,千代田区,神田錦町３,1,0,0,0,0,21,10,1,22,89000,85000,東京メトロ半蔵門線,神保町駅,6,85000,4000,0,85000
ザ・パークハビオSOHO大手町,東京都,千代田区,内神田１,1,0,0,0,0,0,13,3,25,155000,135000,東京メトロ丸ノ内線,淡路町駅,5,135000,20000,135000,0
ＪＲ山手線神田駅13階建新築,東京都,千代田区,内神田１,1,0,0,0,0,0,13,3,25,155000,135000,ＪＲ山手線,神田駅,6,135000,20000,135000,0
シャンブリーズ御茶ノ水,東京都,千代田区,神田小川町３,1,0,0,0,0,19,9,2,23,106000,0,都営新宿線,小川町駅,2,99000,7000,0,0
東京メトロ半蔵門線神保町駅14階建築19年,東京都,千代田区,神田神保町２,1,0,0,0,0,19,14,3,22,94500,172000,東京メトロ半蔵門線,神保町駅,1,86000,8500,86000,86000
パレステュディオ神田EAST　パレステュディオ神田イースト,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ総武線快速,馬喰町駅,2,80000,15000,0,0
クレアーレ麹町,東京都,千代田区,麹町２,1,0,0,0,0,17,9,3,40,171000,322000,東京メトロ半蔵門線,半蔵門駅,2,161000,10000,161000,161000
プラウドフラット外神田,東京都,千代田区,外神田２,1,0,0,0,0,7,11,3,25,139000,262000,東京メトロ銀座線,末広町駅,6,131000,8000,131000,131000
パーク・ノヴァ九段,東京都,千代田区,九段南４,1,0,0,0,0,34,7,2,32,116000,318000,ＪＲ中央線,市ケ谷駅,5,106000,10000,212000,106000
グランフォース九段,東京都,千代田区,九段南２,1,0,0,0,0,20,12,3,22,96000,176000,東京メトロ東西線,九段下駅,7,88000,8000,88000,88000
コートハウス秋葉原,東京都,千代田区,外神田３,1,0,0,0,0,22,9,1,32,112000,103000,ＪＲ山手線,秋葉原駅,8,103000,9000,103000,0
ＪＲ中央線御茶ノ水駅13階建築8年,東京都,千代田区,神田神保町１,1,1,0,1,0,8,13,3,34,175000,326000,ＪＲ中央線,御茶ノ水駅,11,163000,12000,163000,163000
ファインコート秋葉原,東京都,千代田区,神田佐久間町４,1,0,0,0,0,27,9,3,27,93000,83000,ＪＲ山手線,秋葉原駅,8,83000,10000,83000,0
番町パークハウス,東京都,千代田区,四番町,2,1,0,1,0,16,17,8,63,350000,1050000,ＪＲ中央線,市ケ谷駅,3,350000,0,700000,350000
東海西神田マンション,東京都,千代田区,西神田２,1,0,0,0,0,44,9,3,17,70000,130000,ＪＲ中央線,水道橋駅,3,65000,5000,65000,65000
パークコート千代田四番町,東京都,千代田区,四番町,1,1,0,1,0,1,14,7,37,300000,600000,ＪＲ中央線,市ケ谷駅,6,300000,0,300000,300000
シエルトーレ三番町,東京都,千代田区,三番町,3,1,0,1,0,20,14,12,98,500000,1440000,東京メトロ半蔵門線,半蔵門駅,3,480000,20000,960000,480000
パレステュディオ神田EAST,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ山手線,神田駅,10,80000,15000,0,0
ヒルトップ半蔵門,東京都,千代田区,一番町,2,1,0,1,0,22,7,5,75,356000,660000,東京メトロ半蔵門線,半蔵門駅,3,330000,26000,330000,330000
パレスビュー四番町,東京都,千代田区,四番町,2,1,0,1,1,14,15,2,91,460000,1380000,都営新宿線,市ケ谷駅,4,460000,0,920000,460000
東京メトロ丸ノ内線大手町駅7階建新築,東京都,千代田区,内神田２,2,1,0,1,0,0,7,4,47,256000,236000,東京メトロ丸ノ内線,大手町駅,6,236000,20000,0,236000
ザ・パークハウスグラン千鳥ヶ淵,東京都,千代田区,三番町,3,1,0,1,0,8,14,4,127,930000,2790000,東京メトロ半蔵門線,半蔵門駅,7,930000,0,1860000,930000
東京メトロ半蔵門線半蔵門駅地下2地上14階建築8年,東京都,千代田区,三番町,3,1,0,1,0,8,14,4,127,930000,2790000,東京メトロ半蔵門線,半蔵門駅,7,930000,0,1860000,930000
東京メトロ東西線九段下駅11階建新築,東京都,千代田区,飯田橋２,1,0,0,0,0,0,11,2,25,129000,228000,東京メトロ東西線,九段下駅,4,114000,15000,114000,114000
ＪＲ中央線飯田橋駅地下2地上38階建築14年,東京都,千代田区,富士見２,1,1,0,1,1,14,38,16,49,250000,612500,ＪＲ中央線,飯田橋駅,2,245000,5000,245000,367500
パークルール神田司町ロンド,東京都,千代田区,神田司町２,2,1,0,1,0,5,12,6,44,259000,239000,東京メトロ丸ノ内線,淡路町駅,3,239000,20000,239000,0
フォレシティ神田須田町,東京都,千代田区,神田須田町２,2,1,0,1,0,16,15,15,49,205000,380000,ＪＲ山手線,秋葉原駅,5,190000,15000,190000,190000
東京メトロ東西線飯田橋駅12階建築2年,東京都,千代田区,飯田橋１,1,1,0,1,0,2,12,3,36,199000,189000,東京メトロ東西線,飯田橋駅,4,189000,10000,189000,0
パレステュディオ三番町,東京都,千代田区,三番町,1,0,0,0,1,21,9,6,30,123000,114500,東京メトロ半蔵門線,半蔵門駅,6,114500,8500,0,114500
ＪＲ中央線飯田橋駅24階建築2年,東京都,千代田区,飯田橋４,1,1,0,1,0,2,24,7,44,260000,500000,ＪＲ中央線,飯田橋駅,2,250000,10000,250000,250000
クラッシィハウス神田錦町,東京都,千代田区,神田錦町２,1,1,0,1,0,5,13,3,39,203000,396000,東京メトロ千代田線,新御茶ノ水駅,5,198000,5000,198000,198000
ＪＲ総武線快速馬喰町駅8階建築25年,東京都,千代田区,岩本町１,2,1,0,1,0,25,8,4,64,227000,430000,ＪＲ総武線快速,馬喰町駅,4,215000,12000,215000,215000
都営新宿線岩本町駅15階建築19年,東京都,千代田区,岩本町２,1,0,0,0,0,19,15,3,25,108000,196000,都営新宿線,岩本町駅,3,98000,10000,98000,98000
Ｂｅｌｌｅ　Ｖｕｅ　千代田飯田橋,東京都,千代田区,飯田橋１,1,1,0,1,0,2,12,4,36,202000,384000,東京メトロ東西線,飯田橋駅,4,192000,10000,192000,192000
東京メトロ半蔵門線神保町駅9階建築7年,東京都,千代田区,神田猿楽町２,2,1,0,1,0,7,9,4,56,256000,492000,東京メトロ半蔵門線,神保町駅,5,246000,10000,246000,246000
二番町テラス,東京都,千代田区,二番町,2,1,0,1,0,14,13,11,123,740000,1480000,東京メトロ有楽町線,麹町駅,1,740000,0,1480000,0
スペーシア秋葉原,東京都,千代田区,外神田４,1,0,0,0,0,17,15,5,23,118000,0,ＪＲ山手線,秋葉原駅,5,103000,15000,0,0
リブクオーレ神保町,東京都,千代田区,神田神保町１,2,1,0,1,0,3,14,13,55,372000,714000,都営新宿線,神保町駅,5,357000,15000,357000,357000
ＪＲ中央線市ケ谷駅地下1地上14階建新築,東京都,千代田区,四番町,1,1,0,1,0,0,14,7,37,300000,600000,ＪＲ中央線,市ケ谷駅,5,300000,0,300000,300000
アイル大手町,東京都,千代田区,神田錦町２,1,0,0,0,0,8,9,3,25,126000,232000,東京メトロ東西線,竹橋駅,6,116000,10000,116000,116000
ＪＲ中央線飯田橋駅8階建築40年,東京都,千代田区,飯田橋２,2,1,0,0,0,40,8,3,42,160000,640000,ＪＲ中央線,飯田橋駅,7,160000,0,320000,320000
レオーネ秋葉原,東京都,千代田区,東神田３,2,1,0,1,0,0,11,6,51,262000,0,ＪＲ総武線,浅草橋駅,6,244000,18000,0,0
ＪＲ総武線浅草橋駅11階建新築,東京都,千代田区,東神田３,2,1,0,1,0,0,11,6,51,262000,0,ＪＲ総武線,浅草橋駅,6,244000,18000,0,0
市ヶ谷スクエアレジデンス,東京都,千代田区,九段北４,1,0,0,0,0,19,11,10,47,220000,440000,ＪＲ中央線,市ケ谷駅,1,220000,0,220000,220000
東京メトロ半蔵門線半蔵門駅11階建築1年,東京都,千代田区,一番町,1,1,0,1,0,1,11,4,45,285000,546000,東京メトロ半蔵門線,半蔵門駅,2,273000,12000,273000,273000
プラウドタワー千代田富士見,東京都,千代田区,富士見２,1,1,0,1,1,14,38,16,49,250000,490000,ＪＲ中央線,飯田橋駅,3,245000,5000,245000,245000
東京メトロ有楽町線市ケ谷駅地下1地上8階建築35年,東京都,千代田区,九段南４,2,1,0,1,1,35,8,4,66,280000,560000,東京メトロ有楽町線,市ケ谷駅,3,280000,0,280000,280000
ＴＯＫＹＯ　ＴＩＭＥＳ　ＴＯＷＥＲ(トウキョウ　タイムズ　タワー),東京都,千代田区,外神田４,1,0,0,0,0,19,40,5,48,218000,416000,ＪＲ山手線,秋葉原駅,5,208000,10000,208000,208000
プラース千代田富士見,東京都,千代田区,富士見２,1,0,0,0,0,14,9,6,22,111000,206000,東京メトロ東西線,飯田橋駅,4,103000,8000,103000,103000
東京メトロ銀座線神田駅地下1地上12階建築3年,東京都,千代田区,神田多町２,1,1,0,1,0,3,12,2,37,201000,186000,東京メトロ銀座線,神田駅,3,186000,15000,186000,0
都営新宿線市ケ谷駅4階建築3年,東京都,千代田区,四番町,1,0,0,0,0,3,4,2,30,145000,141000,都営新宿線,市ケ谷駅,4,141000,4000,0,141000
メゾンマコト,東京都,千代田区,東神田３,1,1,0,1,0,6,5,2,36,141000,276000,都営浅草線,浅草橋駅,3,138000,3000,138000,138000
ＪＲ総武線浅草橋駅5階建築6年,東京都,千代田区,東神田３,1,1,0,1,0,6,5,2,36,141000,276000,ＪＲ総武線,浅草橋駅,3,138000,3000,138000,138000
ＪＲ中央線御茶ノ水駅14階建築16年,東京都,千代田区,神田神保町２,1,1,0,1,0,16,14,3,32,139000,408000,ＪＲ中央線,御茶ノ水駅,12,136000,3000,272000,136000
東京メトロ東西線飯田橋駅12階建築2年,東京都,千代田区,飯田橋１,1,1,0,1,0,2,12,11,40,230000,215000,東京メトロ東西線,飯田橋駅,4,215000,15000,215000,0
ザ・パークハビオ飯田橋プレイス,東京都,千代田区,飯田橋１,1,1,0,1,0,2,12,11,40,230000,215000,東京メトロ東西線,飯田橋駅,4,215000,15000,215000,0
シティインデックス神田,東京都,千代田区,岩本町２,1,1,0,1,0,7,15,6,32,160000,300000,ＪＲ山手線,秋葉原駅,8,150000,10000,150000,150000
ゴールドシティ水道橋,東京都,千代田区,神田三崎町３,1,0,0,0,0,10,5,1,19,85800,113900,ＪＲ中央線,水道橋駅,3,75900,9900,75900,38000
ＪＲ中央線水道橋駅5階建築10年,東京都,千代田区,神田三崎町３,1,0,0,0,0,10,5,3,19,88000,79000,ＪＲ中央線,水道橋駅,3,79000,9000,79000,0
モモンレジデンス,東京都,千代田区,岩本町１,1,1,0,0,0,17,11,2,32,129000,119000,東京メトロ日比谷線,小伝馬町駅,4,119000,10000,119000,0
九段千鳥ヶ淵テラス,東京都,千代田区,九段南２,1,1,0,1,0,9,12,3,37,176000,340000,東京メトロ東西線,九段下駅,5,170000,6000,170000,170000
東京メトロ東西線九段下駅12階建築9年,東京都,千代田区,九段南２,1,1,0,1,0,9,12,3,37,176000,340000,東京メトロ東西線,九段下駅,5,170000,6000,170000,170000
ブリックコート神田錦町,東京都,千代田区,神田錦町３,1,1,0,1,0,3,12,4,43,196000,552000,東京メトロ半蔵門線,神保町駅,3,184000,12000,184000,368000
都営新宿線小川町駅13階建築1年,東京都,千代田区,神田小川町１,1,1,0,0,0,1,13,6,25,154000,139000,都営新宿線,小川町駅,1,139000,15000,139000,0
東京メトロ千代田線大手町駅13階建築9年,東京都,千代田区,内神田１,1,1,0,1,1,9,13,2,46,225000,430000,東京メトロ千代田線,大手町駅,6,215000,10000,215000,215000
パークキューブ神田,東京都,千代田区,神田須田町２,1,0,0,0,0,18,15,5,23,120000,224000,ＪＲ山手線,秋葉原駅,3,112000,8000,112000,112000
リビオレゾン内神田,東京都,千代田区,内神田１,1,1,0,1,0,4,13,9,32,180000,340000,ＪＲ山手線,神田駅,7,170000,10000,170000,170000
ＪＲ山手線神田駅14階建築6年,東京都,千代田区,神田西福田町,1,1,0,1,0,6,14,9,40,183000,173000,ＪＲ山手線,神田駅,5,173000,10000,173000,0
レジディア神田東,東京都,千代田区,岩本町１,1,1,0,1,0,20,15,4,37,159000,149000,ＪＲ山手線,神田駅,6,149000,10000,149000,0
ＪＲ中央線神田駅13階建築5年,東京都,千代田区,東神田１,1,0,0,0,0,5,13,7,26,130000,0,ＪＲ中央線,神田駅,15,115000,15000,0,0
プロスパー飯田橋,東京都,千代田区,飯田橋１,1,1,0,1,0,1,5,4,42,185000,0,東京メトロ東西線,飯田橋駅,3,175000,10000,0,0
ＪＲ山手線神田駅9階建築3年,東京都,千代田区,岩本町２,1,1,0,1,0,3,9,7,36,165000,300000,ＪＲ山手線,神田駅,8,150000,15000,150000,150000
プルデンシャルタワーレジデンス,東京都,千代田区,永田町２,1,1,0,1,0,21,38,27,68,414000,1182000,東京メトロ銀座線,赤坂見附駅,1,394000,20000,1182000,0
東京メトロ銀座線赤坂見附駅38階建築21年,東京都,千代田区,永田町２,1,1,0,1,0,21,38,26,68,418000,1194000,東京メトロ銀座線,赤坂見附駅,1,398000,20000,1194000,0
パトリス神保町,東京都,千代田区,神田神保町２,1,1,0,1,0,11,11,4,43,182000,344000,東京メトロ半蔵門線,神保町駅,2,172000,10000,172000,172000
ＺＯＯＭ東神田,東京都,千代田区,東神田２,1,0,0,0,0,4,12,6,25,129000,0,都営新宿線,岩本町駅,5,114000,15000,0,0
桜ヒルズ九段北,東京都,千代田区,九段北４,1,0,0,0,0,9,9,5,25,122000,236000,ＪＲ中央線,市ケ谷駅,5,118000,4000,118000,118000
ハーモニーレジデンス秋葉原,東京都,千代田区,岩本町２,1,0,0,0,0,7,9,7,25,110000,100000,東京メトロ日比谷線,秋葉原駅,5,100000,10000,0,100000
ＪＲ山手線秋葉原駅13階建築16年,東京都,千代田区,岩本町２,2,0,0,0,0,16,13,6,37,155000,290000,ＪＲ山手線,秋葉原駅,5,145000,10000,145000,145000
ＧＥＮＯＶＩＡ　東神田　ｇｒｅｅｎ　ｖｅｉｌ,東京都,千代田区,東神田２,1,0,0,0,0,3,12,5,25,125000,0,ＪＲ総武線,浅草橋駅,5,115000,10000,0,0
東京メトロ千代田線湯島駅8階建築26年,東京都,千代田区,外神田６,1,1,0,1,0,26,8,7,51,174000,320000,東京メトロ千代田線,湯島駅,3,160000,14000,160000,160000
レガシア千代田三崎町,東京都,千代田区,神田三崎町３,1,1,0,1,0,3,13,13,41,215000,203000,ＪＲ中央線,水道橋駅,4,203000,12000,203000,0
東京メトロ銀座線神田駅13階建築17年,東京都,千代田区,神田多町２,1,1,0,1,0,17,13,3,40,167000,304000,東京メトロ銀座線,神田駅,3,152000,15000,152000,152000
ザ・レジンデンス平河町,東京都,千代田区,平河町２,1,1,0,1,0,9,16,2,40,220000,440000,東京メトロ南北線,永田町駅,3,220000,0,220000,220000
ベラカーサ秋葉原,東京都,千代田区,神田佐久間町４,1,1,0,1,0,17,11,4,56,179000,358000,東京メトロ日比谷線,秋葉原駅,5,179000,0,179000,179000
レグノ・フォルテ二番町,東京都,千代田区,二番町,1,0,0,0,0,17,14,13,25,129000,129000,ＪＲ中央線,四ツ谷駅,4,129000,0,0,129000
藤和シティホームズ御茶の水,東京都,千代田区,外神田２,1,1,0,1,0,24,10,4,36,145000,290000,ＪＲ中央線,御茶ノ水駅,4,145000,0,145000,145000
パークルール大手町,東京都,千代田区,神田錦町１,1,1,0,1,0,0,14,4,27,184000,0,東京メトロ半蔵門線,大手町駅,7,164000,20000,0,0
パークハビオ平河町,東京都,千代田区,平河町１,1,0,0,0,0,9,15,4,25,140000,130000,東京メトロ有楽町線,麹町駅,2,130000,10000,130000,0
ガリシア九段下ライズ,東京都,千代田区,九段北１,1,0,0,0,0,11,14,6,25,125000,115000,東京メトロ東西線,九段下駅,2,115000,10000,0,115000
東京メトロ銀座線神田駅地下6地上12階建築4年,東京都,千代田区,神田須田町１,1,1,0,0,0,4,12,7,29,160000,150000,東京メトロ銀座線,神田駅,2,150000,10000,150000,0
フェリーチェ　プランドール　６０１,東京都,千代田区,東神田１,1,0,0,0,0,2,12,3,25,129000,119000,ＪＲ総武線快速,馬喰町駅,5,119000,10000,119000,0
東京メトロ日比谷線小伝馬町駅11階建築17年,東京都,千代田区,岩本町１,1,1,0,0,0,17,11,2,32,129000,119000,東京メトロ日比谷線,小伝馬町駅,4,119000,10000,119000,0
ＪＲ山手線神田駅14階建築9年,東京都,千代田区,岩本町２,1,0,0,0,0,9,14,2,25,110000,0,ＪＲ山手線,神田駅,6,95000,15000,0,0
東京メトロ半蔵門線半蔵門駅9階建築22年,東京都,千代田区,一番町,1,0,0,0,0,22,9,4,30,143000,270000,東京メトロ半蔵門線,半蔵門駅,2,135000,8000,135000,135000
レジデンスジャヴァ飯田橋,東京都,千代田区,富士見２,1,0,0,0,0,0,5,5,21,118000,220000,ＪＲ中央線,飯田橋駅,4,110000,8000,110000,110000
ロアール神田,東京都,千代田区,神田須田町１,1,1,0,0,0,18,9,5,31,138000,128000,ＪＲ山手線,神田駅,4,128000,10000,0,128000
ＪＲ総武線飯田橋駅9階建築14年,東京都,千代田区,富士見２,1,0,0,0,0,14,9,6,22,111000,206000,ＪＲ総武線,飯田橋駅,4,103000,8000,103000,103000
ＪＲ山手線秋葉原駅12階建築6年,東京都,千代田区,神田佐久間町３,1,0,0,0,0,6,12,9,30,136500,116500,ＪＲ山手線,秋葉原駅,3,116500,20000,116500,0
ＢＰＲレジデンス神田富山町,東京都,千代田区,神田富山町,1,0,0,0,0,5,9,2,24,131000,123000,ＪＲ山手線,神田駅,3,123000,8000,123000,0
プレミエール一番町,東京都,千代田区,一番町,1,1,0,1,0,16,14,4,47,279000,518000,東京メトロ半蔵門線,半蔵門駅,2,259000,20000,259000,259000
GLACIER神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,4,14,9,25,147000,135000,都営新宿線,神保町駅,3,135000,12000,135000,0
東京メトロ銀座線神田駅10階建築3年,東京都,千代田区,神田須田町１,1,0,0,0,0,3,10,7,30,138500,128000,東京メトロ銀座線,神田駅,2,128000,10500,0,128000
都営新宿線市ケ谷駅地下1地上8階建築34年,東京都,千代田区,九段南４,1,0,0,0,0,34,8,2,32,116000,318000,都営新宿線,市ケ谷駅,2,106000,10000,212000,106000
東京メトロ東西線飯田橋駅地下1地上13階建築8年,東京都,千代田区,飯田橋２,1,0,0,0,0,8,13,8,25,139000,258000,東京メトロ東西線,飯田橋駅,5,129000,10000,129000,129000
ミテッツァ千代田三崎町,東京都,千代田区,神田三崎町３,1,0,0,0,0,12,12,4,25,111000,96000,ＪＲ中央線,水道橋駅,5,96000,15000,96000,0
シティスパイア半蔵門,東京都,千代田区,麹町３,1,1,0,1,0,18,12,4,62,302000,564000,東京メトロ半蔵門線,半蔵門駅,3,282000,20000,282000,282000
プレシス半蔵門,東京都,千代田区,麹町１,1,1,0,1,0,11,13,11,51,263000,753000,東京メトロ半蔵門線,半蔵門駅,1,251000,12000,502000,251000
東京メトロ丸ノ内線大手町駅16階建新築,東京都,千代田区,内神田１,1,0,0,0,0,0,16,3,28,150000,280000,東京メトロ丸ノ内線,大手町駅,4,140000,10000,140000,140000
メインステージ千代田岩本町コモデ,東京都,千代田区,岩本町２,1,0,0,0,0,14,13,10,27,118000,100000,都営新宿線,岩本町駅,4,100000,18000,0,100000
番町會所,東京都,千代田区,五番町,1,1,0,1,0,0,5,2,39,218000,416000,東京メトロ有楽町線,市ケ谷駅,4,208000,10000,208000,208000
クレイシア秋葉原ラグゼスウィート,東京都,千代田区,東神田２,1,0,0,0,0,4,12,2,25,111000,101000,ＪＲ総武線快速,馬喰町駅,5,101000,10000,0,101000
ＪＲ山手線秋葉原駅12階建築4年,東京都,千代田区,東神田２,1,0,0,0,0,4,12,2,25,111000,101000,ＪＲ山手線,秋葉原駅,8,101000,10000,0,101000
スカイコートお茶の水,東京都,千代田区,神田猿楽町２,1,0,0,0,0,16,7,6,22,104000,208000,ＪＲ中央線,水道橋駅,6,104000,0,104000,104000
ＪＲ総武線水道橋駅7階建築16年,東京都,千代田区,神田猿楽町２,1,1,0,1,0,16,7,4,44,182000,336400,ＪＲ総武線,水道橋駅,6,168200,13800,168200,168200
クオリタス秋葉原,東京都,千代田区,神田佐久間町４,1,0,0,0,0,1,16,5,25,135000,0,東京メトロ日比谷線,秋葉原駅,5,120000,15000,0,0
アーバネックス千代田淡路町,東京都,千代田区,神田小川町１,1,1,0,0,0,0,13,6,25,154000,139000,都営新宿線,小川町駅,1,139000,15000,139000,0
ＪＲ山手線神田駅12階建築19年,東京都,千代田区,神田司町２,1,0,0,0,0,19,12,5,23,102000,184000,ＪＲ山手線,神田駅,6,92000,10000,92000,92000
ユーキメゾン一番町,東京都,千代田区,一番町,1,0,0,0,0,22,9,4,30,143000,270000,東京メトロ半蔵門線,半蔵門駅,3,135000,8000,135000,135000
サークルズ神保町IIレジデンス,東京都,千代田区,神田神保町１,1,0,0,0,0,1,12,11,22,118000,108000,東京メトロ半蔵門線,神保町駅,3,108000,10000,108000,0
ＪＲ山手線神田駅10階建築10年,東京都,千代田区,神田淡路町２,1,0,0,0,0,10,10,7,25,141000,270000,ＪＲ山手線,神田駅,11,135000,6000,135000,135000
